the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-73.91322139386142 40.80166362775625),23,Port Morris,2,Port,Morris,,0,Bronx
POINT (-73.89578820094466 40.815099045458254),24,Longwood,1,Longwood,,,0,Bronx
POINT (-73.88331505955298 40.809729879387135),25,Hunts Point,2,Hunts,Point,,0,Bronx
POINT (-73.90150648943066 40.82359198585537),26,Morrisania,1,Morrisania,,,0,Bronx
POINT (-73.86574609554933 40.82101219791406),27,Soundview,1,Soundview,,,0,Bronx
POINT (-73.85414416189273 40.806551120035934),28,Clason Point,2,Clason,Point,,0,Bronx
POINT (-73.8163500215845 40.815109258040096),29,Throgs Neck,1,Throgs Neck,,,0,Bronx
POINT (-73.82409926753857 40.84424593694742),30,Country Club,2,Country,Club,,0,Bronx
POINT (-73.8560031053579 40.83793782226733),31,Parkchester,1,Parkchester,,,0,Bronx
POINT (-73.8421940760445 40.840619496432744),32,Westchester Square,2,Westchester,Square,,0,Bronx
POINT (-73.86629918075617 40.84360847124722),33,Van Nest,2,Van,Nest,,0,Bronx
POINT (-73.85040178030428 40.84754906353638),34,Morris Park,1,Morris Park,,,0,Bronx
POINT (-73.88845196134812 40.85727710073898),35,Belmont,1,Belmont,,,0,Bronx
POINT (-73.917190482104 40.8813949772709),36,Spuyten Duyvil,2,Spuyten,Duyvil,,0,Bronx
POINT (-73.90453054908934 40.9085428295067),37,North Riverdale,2,North,Riverdale,,0,Bronx
POINT (-73.83207378240478 40.85064140940339),38,Pelham Bay,2,Pelham,Bay,,0,Bronx
POINT (-73.82620275994081 40.82657951686926),39,Schuylerville,1,Schuylerville,,,0,Bronx
POINT (-73.81388514428627 40.82198611816354),40,Edgewater Park,2,Edgewater,Park,,0,Bronx
POINT (-73.84802729582742 40.81901437698835),41,Castle Hill,2,Castle,Hill,,0,Bronx
POINT (-73.86332361652784 40.87137078192375),42,Olinville,1,Olinville,,,0,Bronx
POINT (-73.8416119483123 40.862965624780024),43,Pelham Gardens,2,Pelham,Gardens,,0,Bronx
POINT (-73.91558941773451 40.834283807338544),44,Concourse,1,Concourse,,,0,Bronx
POINT (-73.85053524451942 40.82977429787165),45,Unionport,1,Unionport,,,0,Bronx
POINT (-73.84808271877175 40.88456130303736),46,Edenwald,1,Edenwald,,,0,Bronx
POINT (-74.03062069353821 40.62580106501069),47,Bay Ridge,1,Bay Ridge,,,0,Brooklyn
POINT (-73.99517998380736 40.61100890202048),48,Bensonhurst,1,Bensonhurst,,,0,Brooklyn
POINT (-74.01031618527792 40.64510294925433),49,Sunset Park,2,Sunset,Park,,0,Brooklyn
POINT (-73.954240931274 40.730200984864744),50,Greenpoint,1,Greenpoint,,,0,Brooklyn
POINT (-73.97347087708452 40.59526001306597),51,Gravesend,1,Gravesend,,,0,Brooklyn
POINT (-73.96509448785343 40.576825065666085),52,Brighton Beach,2,Brighton,Beach,,0,Brooklyn
POINT (-73.94318640482987 40.58689012678388),53,Sheepshead Bay,2,Sheepshead,Bay,,0,Brooklyn
POINT (-73.95743840559946 40.61443251335102),54,Manhattan Terrace,2,Manhattan,Terrace,,0,Brooklyn
POINT (-73.95840106533912 40.63632589026681),55,Flatbush,1,Flatbush,,,0,Brooklyn
POINT (-73.9432911907359 40.67082917695298),56,Crown Heights,2,Crown,Heights,,0,Brooklyn
POINT (-73.93610256185843 40.64171776668965),57,East Flatbush,1,East Flatbush,,,0,Brooklyn
POINT (-73.98042110559481 40.64238195800357),58,Kensington,1,Kensington,,,0,Brooklyn
POINT (-73.98007340430179 40.65694583575108),59,Windsor Terrace,2,Windsor,Terrace,,0,Brooklyn
POINT (-73.96485924262697 40.67682226225477),60,Prospect Heights,2,Prospect,Heights,,0,Brooklyn
POINT (-73.91023536176615 40.66394994339758),61,Brownsville,1,Brownsville,,,0,Brooklyn
POINT (-73.95811529220936 40.70714439344255),62,Williamsburg,1,Williamsburg,,,0,Brooklyn
POINT (-73.92525797487053 40.69811611017905),63,Bushwick,1,Bushwick,,,0,Brooklyn
POINT (-73.94178488690304 40.6872316077205),64,Bedford Stuyvesant,1,Bedford Stuyvesant,,,0,Brooklyn
POINT (-73.99378225496432 40.69586372272413),65,Brooklyn Heights,2,Brooklyn,Heights,,0,Brooklyn
POINT (-73.9985613921847 40.68791972248561),66,Cobble Hill,2,Cobble,Hill,,0,Brooklyn
POINT (-74.00037274122076 40.68213188564184),67,Carroll Gardens,2,Carroll,Gardens,,0,Brooklyn
POINT (-74.01275897473568 40.67625323025092),68,Red Hook,2,Red,Hook,,0,Brooklyn
POINT (-73.99444087145346 40.6739311431872),69,Gowanus,1,Gowanus,,,0,Brooklyn
POINT (-73.97290574369099 40.688527260189815),70,Fort Greene,2,Fort,Greene,,0,Brooklyn
POINT (-73.97705030183931 40.672320522682014),71,Park Slope,2,Park,Slope,,0,Brooklyn
POINT (-73.87583132262635 40.6846357939163),72,Cypress Hills,2,Cypress,Hills,,0,Brooklyn
POINT (-73.88069863917373 40.66992570084708),73,East New York,1,East New York,,,0,Brooklyn
POINT (-73.87936970045882 40.64758905230878),74,Starrett City,2,Starrett,City,,0,Brooklyn
POINT (-73.90209269778973 40.63556432797432),75,Canarsie,1,Canarsie,,,0,Brooklyn
POINT (-73.92911302644681 40.6304460437575),76,Flatlands,1,Flatlands,,,0,Brooklyn
POINT (-73.90818571777432 40.60633642168567),77,Mill Island,2,Mill,Island,,0,Brooklyn
POINT (-73.94353722891894 40.57791350308661),78,Manhattan Beach,2,Manhattan,Beach,,0,Brooklyn
POINT (-73.98868295821644 40.57429256471605),79,Coney Island,1,Coney Island,,,0,Brooklyn
POINT (-73.99875221443526 40.599518702822415),80,Bath Beach,2,Bath,Beach,,0,Brooklyn
POINT (-73.99049823044818 40.63313051275805),81,Borough Park,2,Borough,Park,,0,Brooklyn
POINT (-74.01931375636029 40.61921945772268),82,Dyker Heights,2,Dyker,Heights,,0,Brooklyn
POINT (-73.93010170691203 40.59084843390208),83,Gerritsen Beach,2,Gerritsen,Beach,,0,Brooklyn
POINT (-73.93134404108504 40.60974777989464),84,Marine Park,1,Marine Park,,,0,Brooklyn
POINT (-73.96784306216374 40.69322942188155),85,Clinton Hill,2,Clinton,Hill,,0,Brooklyn
POINT (-74.00787311200247 40.576375378902284),86,Sea Gate,2,Sea,Gate,,0,Brooklyn
POINT (-73.98346337431106 40.69084402109806),87,Downtown,2,Down-,town,,0,Brooklyn
POINT (-73.98357724689187 40.687241380657376),88,Boerum Hill,2,Boerum,Hill,,0,Brooklyn
POINT (-73.9548986707772 40.65842001746986),89,Prospect Lefferts Gardens,3,Prospect,Lefferts,Gardens,0,Brooklyn
POINT (-73.91306831787404 40.6784025547954),90,Ocean Hill,2,Ocean,Hill,,0,Brooklyn
POINT (-73.86797598081343 40.678569957274824),91,City Line,2,City,Line,,0,Brooklyn
POINT (-73.89855633630324 40.615149550453125),92,Bergen Beach,2,Bergen,Beach,,0,Brooklyn
POINT (-73.95759523489846 40.62559589869847),93,Midwood,1,Midwood,,,0,Brooklyn
POINT (-73.96261316716055 40.64700860318523),94,Prospect Park South,2,Prospect,Park South,,0,Brooklyn
POINT (-73.91607483951331 40.623845244784235),95,Georgetown,1,Georgetown,,,0,Brooklyn
POINT (-73.86998779106547 40.65713927658277),96,Spring Creek,2,Spring,Creek,,0,Brooklyn
POINT (-73.93885815269203 40.70849241041552),97,East Williamsburg,2,East,Williamsburg,,0,Brooklyn
POINT (-73.95880857587589 40.714822906532056),98,North Side,1,North Side,,,0,Brooklyn
POINT (-73.95800095153338 40.710861472650684),99,South Side,1,South Side,,,0,Brooklyn
POINT (-73.97164435527614 40.698790872180545),100,Navy Yard,2,Navy,Yard,,0,Brooklyn
POINT (-73.96836678035548 40.61305976667946),101,Ocean Parkway,2,Ocean,Parkway,,0,Brooklyn
POINT (-74.0319791453799 40.6147681269423),102,Fort Hamilton,2,Fort,Hamilton,,0,Brooklyn
POINT (-73.99427936255985 40.715618422314364),103,Chinatown,1,Chinatown,,,0,Manhattan
POINT (-73.93690027985242 40.85190252555309),104,Washington Heights,2,Washington,Heights,,0,Manhattan
POINT (-73.92121042203905 40.86768396449919),105,Inwood,1,Inwood,,,0,Manhattan
POINT (-73.94968791883373 40.82360428481197),106,Hamilton Heights,2,Hamilton,Heights,,0,Manhattan
POINT (-73.95738539351888 40.81693442949784),107,Manhattanville,2,Manhattanville,,,0,Manhattan
POINT (-73.94321112603912 40.81597606742418),108,Central Harlem,2,Central,Harlem,,0,Manhattan
POINT (-73.94418223148531 40.79224946663037),109,East Harlem,2,East,Harlem,,0,Manhattan
POINT (-73.96050763135007 40.77563857330185),110,Upper East Side,3,Upper,East,Side,0,Manhattan
POINT (-73.94711784471833 40.77592984988492),111,Yorkville,2,York-,ville,,0,Manhattan
POINT (-73.95885968813766 40.76811265828737),112,Lenox Hill,2,Lenox,Hill,,0,Manhattan
POINT (-73.9494705736962 40.762403730702246),113,Roosevelt Island,1,Roosevelt Island,,,56,Manhattan
POINT (-73.9770592363061 40.7876579985349),114,Upper West Side,3,Upper,West,Side,0,Manhattan
POINT (-73.9853377700127 40.773528889421705),115,Lincoln Square,2,Lincoln,Square,,0,Manhattan
POINT (-73.99640768221386 40.758333686906404),116,Clinton,1,Clinton,,,0,Manhattan
POINT (-73.98166882730311 40.75469110270627),117,Midtown,1,Midtown,,,0,Manhattan
POINT (-73.97833207924134 40.74830307725222),118,Murray Hill,2,Murray,Hill,,0,Manhattan
POINT (-74.0031163347282 40.74403470674802),119,Chelsea,1,Chelsea,,,0,Manhattan
POINT (-73.99991402945909 40.72693288536132),120,Greenwich Village,2,Greenwich,Village,,0,Manhattan
POINT (-73.98222616506425 40.72784677727029),121,East Village,2,East,Village,,0,Manhattan
POINT (-73.98089031999298 40.71780674892769),122,Lower East Side,3,Lower,East,Side,0,Manhattan
POINT (-74.01068328559094 40.72152196744325),123,Tribeca,1,Tribeca,,,0,Manhattan
POINT (-73.9973046720808 40.71932379395911),124,Little Italy,2,Little,Italy,,0,Manhattan
POINT (-74.00065666959766 40.72218384131798),125,Soho,1,Soho,,,0,Manhattan
POINT (-74.00617998126819 40.734433935724375),126,West Village,2,West,Village,,0,Manhattan
POINT (-73.96428617740662 40.7973070417029),127,Manhattan Valley,2,Manhattan,Valley,,0,Manhattan
POINT (-73.96389627905339 40.80799973816586),128,Morningside Heights,2,Morningside,Heights,,0,Manhattan
POINT (-73.98137594833548 40.737209832715045),129,Gramercy,1,Gramercy,,,0,Manhattan
POINT (-74.01686930508625 40.71193198394569),130,Battery Park City,3,Battery,Park,City,0,Manhattan
POINT (-74.01066544521277 40.70710710727052),131,Financial District,2,Financial,District,,0,Manhattan
POINT (-73.91565374304241 40.768508593354966),132,Astoria,1,Astoria,,,0,Queens
POINT (-73.90184166838291 40.746349088602265),133,Woodside,1,Woodside,,,0,Queens
POINT (-73.88282109164372 40.751981380073715),134,Jackson Heights,2,Jackson,Heights,,0,Queens
POINT (-73.88165622288396 40.744048505122066),135,Elmhurst,1,Elmhurst,,,0,Queens
POINT (-73.83813764600289 40.6542252773849),136,Howard Beach,2,Howard,Beach,,0,Queens
POINT (-73.85682497345266 40.7423817501567),137,South Corona,2,South,Corona,,0,Queens
POINT (-73.8444750078899 40.725263782165065),138,Forest Hills,2,Forest,Hills,,0,Queens
POINT (-73.8298190582571 40.705179035414844),139,Kew Gardens,2,Kew,Gardens,,0,Queens
POINT (-73.83183321446894 40.69794731471767),140,Richmond Hill,2,Richmond,Hill,,0,Queens
POINT (-73.82936758711861 40.76116362081876),141,Downtown Flushing,2,Downtown,Flushing,,0,Queens
POINT (-73.93920223915512 40.75021734610532),142,Long Island City,3,Long,Island,City,0,Queens
POINT (-73.92691617561584 40.74017628351928),143,Sunnyside,1,Sunnyside,,,0,Queens
POINT (-73.86704147658779 40.764073238830946),144,East Elmhurst,2,East,Elmhurst,,0,Queens
POINT (-73.89621713626867 40.72542737409365),145,Maspeth,1,Maspeth,,,0,Queens
POINT (-73.90143517559596 40.70832315613862),146,Ridgewood,1,Ridgewood,,,0,Queens
POINT (-73.87074167435614 40.702762429678415),147,Glendale,1,Glendale,,,0,Queens
POINT (-73.85782686905377 40.72897409480739),148,Rego Park,1,Rego Park,,,0,Queens
POINT (-73.85811046554328 40.689886879157925),149,Woodhaven,1,Woodhaven,,,0,Queens
POINT (-73.84320266173454 40.68070846826546),150,Ozone Park,1,Ozone Park,,,0,Queens
POINT (-73.80986478649048 40.66854957767199),151,South Ozone Park,2,South,Ozone Park,,0,Queens
POINT (-73.84304528896132 40.78490274926025),152,College Point,2,College,Point,,0,Queens
POINT (-73.8142021661087 40.781290766026984),153,Whitestone,1,Whitestone,,,0,Queens
POINT (-73.77427363068676 40.76604063281068),154,Bayside,1,Bayside,,,0,Queens
POINT (-73.79176243728068 40.761729549032665),155,Auburndale,1,Auburndale,,,0,Queens
POINT (-73.73889775580747 40.77082619282674),156,Little Neck,2,Little,Neck,,0,Queens
POINT (-73.74249820727337 40.766846097907674),157,Douglaston,1,Douglaston,,,0,Queens
POINT (-73.71548118999152 40.74944079974336),158,Glen Oaks,2,Glen,Oaks,,0,Queens
POINT (-73.7201281482691 40.72857318176679),159,Bellerose,1,Bellerose,,,0,Queens
POINT (-73.82087764933573 40.72257824422808),160,Kew Gardens Hills,3,Kew,Gardens,Hills,0,Queens
POINT (-73.78271337003271 40.734394465331334),161,Fresh Meadows,2,Fresh,Meadows,,0,Queens
POINT (-73.81174822458641 40.710935472522756),162,Briarwood,1,Briarwood,,,0,Queens
POINT (-73.79690165888296 40.704657360687214),163,Jamaica Center,2,Jamaica,Center,,0,Queens
POINT (-73.75494976234339 40.74561857141858),164,Oakland Gardens,2,Oakland,Gardens,,0,Queens
POINT (-73.73871484578433 40.7188930921674),165,Queens Village,2,Queens,Village,,0,Queens
POINT (-73.75925009335602 40.71124344191908),166,Hollis,1,Hollis,,,0,Queens
POINT (-73.79042613135549 40.69691125378992),167,South Jamaica,1,South Jamaica,,,0,Queens
POINT (-73.75867603727725 40.69444538522363),168,St. Albans,1,St. Albans,,,0,Queens
POINT (-73.77258787620913 40.675211395917366),169,Rochdale,1,Rochdale,,,0,Queens
POINT (-73.76042092682295 40.666230490368626),170,Springfield Gardens,2,Springfield,Gardens,,0,Queens
POINT (-73.73526873708033 40.69277463916089),171,Cambria Heights,2,Cambria,Heights,,0,Queens
POINT (-73.73526079428285 40.65981643342812),172,Rosedale,1,Rosedale,,,0,Queens
POINT (-73.7549796804388 40.60313443250093),173,Far Rockaway,2,Far Rockaway,,,0,Queens
POINT (-73.82005489110327 40.603026583512424),174,Broad Channel,2,Broad,Channel,,0,Queens
POINT (-73.92551196994177 40.557401288454564),175,Breezy Point,2,Breezy,Point,,0,Queens
POINT (-73.90228960391681 40.77592301564293),176,Steinway,1,Steinway,,,0,Queens
POINT (-73.80436451720996 40.792781403600515),177,Beechhurst,1,Beechhurst,,,0,Queens
POINT (-73.77680222621588 40.7828428062456),178,Bay Terrace,2,Bay,Terrace,,0,Queens
POINT (-73.77613282391712 40.59564180736854),179,Edgemere,1,Edgemere,,,0,Queens
POINT (-73.7919923313695 40.58914394372975),180,Arverne,1,Arverne,,,0,Queens
POINT (-73.82236121088758 40.58280169684563),181,Seaside,1,Seaside,,,0,Queens
POINT (-73.85754672410836 40.57203673021705),182,Neponsit,1,Neponsit,,,0,Queens
POINT (-73.81276269135873 40.7641261226141),183,Murray Hill,2,Murray,Hill,,0,Queens
POINT (-73.70884705889253 40.74137842194548),184,Floral Park,1,Floral Park,,,0,Queens
POINT (-73.76714166714736 40.720957207644446),185,Holliswood,1,Holliswood,,,0,Queens
POINT (-73.78722696936667 40.716804830146174),186,Jamaica Estates,2,Jamaica,Estates,,0,Queens
POINT (-73.82580915110566 40.744572309286745),187,Queensboro Hill,2,Queensboro,Hill,,0,Queens
POINT (-73.79760300912679 40.72382490182924),188,Hillcrest,1,Hillcrest,,,0,Queens
POINT (-73.93157506072886 40.76170452605419),189,Ravenswood,1,Ravenswood,,,0,Queens
POINT (-73.84963782402448 40.66391841925143),190,Lindenwood,1,Lindenwood,,,0,Queens
POINT (-73.74025607989829 40.667883896602504),191,Laurelton,1,Laurelton,,,0,Queens
POINT (-73.86252471413746 40.73607457083084),192,Lefrak City,2,Lefrak,City,,0,Queens
POINT (-73.85401750392529 40.57615556543113),193,Belle Harbor,1,Belle Harbor,,,0,Queens
POINT (-73.84153370226193 40.58034295646135),194,Rockaway Park,1,Rockaway Park,,,0,Queens
POINT (-73.79664750844056 40.59771061565772),195,Somerville,1,Somerville,,,0,Queens
POINT (-73.7517531073116 40.66000322733616),196,Brookville,1,Brookville,,,0,Queens
POINT (-73.73889198912488 40.73301404027838),197,Bellaire,1,Bellaire,,,0,Queens
POINT (-73.85751790676454 40.75407099904894),198,North Corona,2,North,Corona,,0,Queens
POINT (-73.84102211234017 40.71461108151174),199,Forest Hills Gardens,3,Forest,Hills,Gardens,0,Queens
POINT (-74.07935312512804 40.64498157100444),200,St. George,2,St.,George,,0,Staten Island
POINT (-74.08701650516633 40.64061455913515),201,New Brighton,2,New,Brighton,,0,Staten Island
POINT (-74.07790192660073 40.6269276253818),202,Stapleton,1,Stapleton,,,0,Staten Island
POINT (-74.06980526716148 40.61530494652765),203,Rosebank,1,Rosebank,,,0,Staten Island
POINT (-74.10718178265617 40.63187892654611),204,West Brighton,2,West,Brighton,,0,Staten Island
POINT (-74.08724819983736 40.62418479131304),205,Grymes Hill,2,Grymes,Hill,,0,Staten Island
POINT (-74.11132881800887 40.59706851814676),206,Todt Hill,2,Todt,Hill,,0,Staten Island
POINT (-74.07955292539827 40.5802474135096),207,South Beach,2,South,Beach,,0,Staten Island
POINT (-74.12943426797015 40.63366930554369),208,Port Richmond,2,Port,Richmond,,0,Staten Island
POINT (-74.15008537046988 40.63254639048117),209,Mariner's Harbor,2,Mariner's,Harbor,,0,Staten Island
POINT (-74.17464532993549 40.63968297845546),210,Port Ivory,2,Port,Ivory,,0,Staten Island
POINT (-74.1191805853485 40.613335937667465),211,Castleton Corners,2,Castleton,Corners,,0,Staten Island
POINT (-74.16496031329834 40.59425237916174),212,New Springville,2,New,Springville,,0,Staten Island
POINT (-74.19073717538123 40.58631375103285),213,Travis,1,Travis,,,0,Staten Island
POINT (-74.11647943606387 40.57257231820636),214,New Dorp,2,New,Dorp,,0,Staten Island
POINT (-74.12156593771904 40.558462243288844),215,Oakwood,1,Oakwood,,,0,Staten Island
POINT (-74.14932381490999 40.54948022871365),216,Great Kills,2,Great,Kills,,0,Staten Island
POINT (-74.16433080419367 40.54223074745079),217,Eltingville,1,Eltingville,,,0,Staten Island
POINT (-74.17854866165885 40.538114174745104),218,Annadale,1,Annadale,,,0,Staten Island
POINT (-74.22135055371616 40.53745265012707),219,Woodrow,1,Woodrow,,,0,Staten Island
POINT (-74.24656934235291 40.505333761156464),220,Tottenville,1,Tottenville,,,0,Staten Island
POINT (-74.08055351790122 40.63731606711036),221,Tompkinsville,1,Tompkinsville,,,0,Staten Island
POINT (-74.09629029235465 40.619193107926804),222,Silver Lake,2,Silver,Lake,,0,Staten Island
POINT (-74.09712552178537 40.612760157564935),223,Sunnyside,1,Sunnyside,,,0,Staten Island
POINT (-73.96101312466787 40.64367518334101),224,Ditmas Park,2,Ditmas,Park,,0,Brooklyn
POINT (-73.93718680559321 40.660946561881154),225,Wingate,1,Wingate,,,0,Brooklyn
POINT (-73.92688212616963 40.65557231328081),226,Rugby,1,Rugby,,,0,Brooklyn
POINT (-74.08015734936303 40.60919044434562),227,Park Hill,2,Park,Hill,,0,Staten Island
POINT (-74.13304143951713 40.62109047275413),228,Westerleigh,1,Westerleigh,,,0,Staten Island
POINT (-74.1531524638777 40.62017151223193),229,Graniteville,1,Graniteville,,,0,Staten Island
POINT (-74.16510420241131 40.63532509911496),230,Arlington,1,Arlington,,,0,Staten Island
POINT (-74.06712363225581 40.596312571276776),231,Arrochar,1,Arrochar,,,0,Staten Island
POINT (-74.07667436279057 40.59826835959995),232,Grasmere,1,Grasmere,,,0,Staten Island
POINT (-74.08751118005587 40.596328913795176),233,Old Town,2,Old,Town,,0,Staten Island
POINT (-74.09639905312528 40.58867294819932),234,Dongan Hills,2,Dongan,Hills,,0,Staten Island
POINT (-74.09348266303599 40.573526905742874),235,Midland Beach,2,Midland,Beach,,0,Staten Island
POINT (-74.10585598545441 40.57621558711792),236,Grant City,2,Grant,City,,0,Staten Island
POINT (-74.10432707469131 40.56425549307338),237,New Dorp Beach,3,New,Dorp,Beach,0,Staten Island
POINT (-74.13916622175775 40.55398800858466),238,Bay Terrace,2,Bay,Terrace,,0,Staten Island
POINT (-74.19174105747821 40.53191192048964),239,Huguenot,1,Huguenot,,,0,Staten Island
POINT (-74.21983106616784 40.52469937611818),240,Pleasant Plains,2,Pleasant,Plains,,0,Staten Island
POINT (-74.22950350260034 40.506081653463085),241,Butler Manor,2,Butler,Manor,,0,Staten Island
POINT (-74.23215775896533 40.530531482833176),242,Charleston,1,Charleston,,,0,Staten Island
POINT (-74.21572851113959 40.549404006500765),243,Rossville,1,Rossville,,,0,Staten Island
POINT (-74.185886745839 40.549285822783254),244,Arden Heights,2,Arden,Heights,,0,Staten Island
POINT (-74.19150620964295 40.559712496342954),245,Greenridge,1,Greenridge,,,0,Staten Island
POINT (-74.15902208156608 40.589138948752854),246,Heartland Village,2,Heartland,Village,,0,Staten Island
POINT (-74.18956045519697 40.59472602746298),247,Chelsea,1,Chelsea,,,0,Staten Island
POINT (-74.18725638381574 40.60577868452362),248,Bloomfield,1,Bloomfield,,,0,Staten Island
POINT (-74.15940948657129 40.60959180042034),249,Bulls Head,2,Bulls,Head,,0,Staten Island
POINT (-73.95325646837121 40.78268256712574),250,Carnegie Hill,2,Carnegie,Hill,,0,Manhattan
POINT (-73.98843368023604 40.72325901885772),251,Noho,1,Noho,,,0,Manhattan
POINT (-74.00541529873362 40.715228920462856),252,Civic Center,2,Civic,Center,,0,Manhattan
POINT (-73.98871313285254 40.748509664312245),253,Midtown South,2,Midtown,South,,0,Manhattan
POINT (-74.13405729862578 40.56960594275509),254,Richmond Town,2,Richmond,Town,,0,Staten Island
POINT (-74.06667766061778 40.609719340792886),255,Shore Acres,2,Shore,Acres,,0,Staten Island
POINT (-74.07264244548406 40.61917845202847),256,Clifton,1,Clifton,,,0,Staten Island
POINT (-74.08402364740365 40.604473189687944),257,Concord,1,Concord,,,0,Staten Island
POINT (-74.09776206972529 40.606794394801035),258,Emerson Hill,2,Emerson,Hill,,0,Staten Island
POINT (-74.09805062373894 40.63563000681155),259,Randall Manor,2,Randall,Manor,,0,Staten Island
POINT (-74.1862233174983 40.638432837947995),260,Howland Hook,2,Howland,Hook,,0,Staten Island
POINT (-74.14181678968897 40.63014674119387),261,Elm Park,2,Elm,Park,,0,Staten Island
POINT (-73.91665331978055 40.65211745179353),262,Remsen Village,2,Remsen,Village,,0,Brooklyn
POINT (-73.885117763793 40.66274427969663),263,New Lots,2,New,Lots,,0,Brooklyn
POINT (-73.90233474295843 40.63131755039671),264,Paerdegat Basin,2,Paerdegat,Basin,,0,Brooklyn
POINT (-73.9151539155041 40.615974239623405),265,Mill Basin,2,Mill,Basin,,0,Brooklyn
POINT (-73.796464620816 40.71145964370486),266,Jamaica Hills,2,Jamaica,Hills,,0,Queens
POINT (-73.79671678028357 40.7335002542976),267,Utopia,1,Utopia,,,0,Queens
POINT (-73.80486120040544 40.73493618075482),268,Pomonok,1,Pomonok,,,0,Queens
POINT (-73.89467996270581 40.770317392998244),269,Astoria Heights,2,Astoria,Heights,,0,Queens
POINT (-73.90119903387674 40.83142834161551),270,Claremont Village,2,Claremont,Village,,0,Bronx
POINT (-73.91584652759016 40.82478049084294),271,Concourse Village,2,Concourse,Village,,0,Bronx
POINT (-73.91655551964426 40.843826176716576),272,Mount Eden,2,Mount,Eden,,0,Bronx
POINT (-73.90829930881995 40.84884160724669),273,Mount Hope,2,Mount,Hope,,0,Bronx
POINT (-73.9635561409431 40.76028033131378),274,Sutton Place,2,Sutton,Place,,0,Manhattan
POINT (-73.95386782130753 40.74341409007358),275,Hunters Point,2,Hunters,Point,,0,Queens
POINT (-73.96770824581843 40.75204236950726),276,Turtle Bay,2,Turtle,Bay,,0,Manhattan
POINT (-73.97121928722272 40.74691741074023),277,Tudor City,2,Tudor,City,,0,Manhattan
POINT (-73.9740517046921 40.73099955477065),278,Stuyvesant Town,2,Stuyvesant,Town,,0,Manhattan
POINT (-73.99094710528267 40.73967304763847),279,Flatiron,1,Flatiron,,,0,Manhattan
POINT (-73.9181928643169 40.745651806080794),280,Sunnyside Gardens,2,Sunnyside,Gardens,,0,Queens
POINT (-73.93244235260185 40.73725071694501),281,Blissville,1,Blissville,,,0,Queens
POINT (-73.99550751888422 40.70328109093018),282,Fulton Ferry,2,Fulton,Ferry,,0,Brooklyn
POINT (-73.981116035924 40.703321498828785),283,Vinegar Hill,2,Vinegar,Hill,,0,Brooklyn
POINT (-73.93053108817347 40.67503986503241),284,Weeksville,1,Weeksville,,,0,Brooklyn
POINT (-73.90331684852606 40.67786104769535),285,Broadway Junction,2,Broadway,Junction,,0,Brooklyn
POINT (-73.98875280745047 40.70317632822696),286,Dumbo,1,Dumbo,,,0,Brooklyn
POINT (-74.12059399718008 40.60180957631448),287,Manor Heights,2,Manor,Heights,,0,Staten Island
POINT (-74.13208447484305 40.60370692627375),288,Willowbrook,1,Willowbrook,,,0,Staten Island
POINT (-74.21776636068574 40.5411399220918),289,Sandy Ground,2,Sandy,Ground,,0,Staten Island
