,Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
169,North Center,41.9561073,-87.67915959999999,Shakespeare in the Park,41.963009,-87.687474,Theater
170,North Center,41.9561073,-87.67915959999999,The Foxhole,41.961533,-87.690478,Performing Arts Venue
171,North Center,41.9561073,-87.67915959999999,Theatre Y,41.964003,-87.688959,Theater
172,North Center,41.9561073,-87.67915959999999,Theater Momentum,41.94533316431275,-87.67419951190259,Theater
173,North Center,41.9561073,-87.67915959999999,Learn Guitar Chicago,41.960613,-87.693424,Music Venue
174,North Center,41.9561073,-87.67915959999999,Lincoln Square Theatre,41.96805330038968,-87.68431530671747,Theater
175,North Center,41.9561073,-87.67915959999999,GE Wonderground - Graceland Cemetery,41.954446777547226,-87.66219976409495,Science Museum
176,North Center,41.9561073,-87.67915959999999,Venus Cabaret,41.950102,-87.663915,Music Venue
177,North Center,41.9561073,-87.67915959999999,Pride Films & Plays,41.9654029109807,-87.6662885538331,Theater
178,North Center,41.9561073,-87.67915959999999,Pride Films and Plays Rehearsal Space,41.965295,-87.666143,Theater
179,North Center,41.9561073,-87.67915959999999,Baby Take A Bow,41.94319009491456,-87.6842286567091,Dance Studio
180,North Center,41.9561073,-87.67915959999999,Live Bait Theatre,41.953043454036745,-87.66133765206573,Theater
181,North Center,41.9561073,-87.67915959999999,The Understudy,41.96629,-87.667016,Indie Theater
182,North Center,41.9561073,-87.67915959999999,Otherworld Theatre Company,41.952971179666925,-87.6613175439216,Theater
183,North Center,41.9561073,-87.67915959999999,Pegasus Players Hull House,41.96417124010225,-87.66394801943683,Theater
184,North Center,41.9561073,-87.67915959999999,Mariano's Fresh Market,41.94246918009929,-87.68954717745639,Piano Bar
185,North Center,41.9561073,-87.67915959999999,Being There / There Being,41.941919,-87.670096,Outdoor Sculpture
186,North Center,41.9561073,-87.67915959999999,Metro Chicago,41.9498364,-87.6589652,Music Venue
187,North Center,41.9561073,-87.67915959999999,About Face Theatre Admin Office,41.965468838827334,-87.66070634000667,Theater
188,North Center,41.9561073,-87.67915959999999,The Pub Theater,41.940308927620016,-87.66935410506171,Comedy Club
189,North Center,41.9561073,-87.67915959999999,Swing Dancing At Fizz!,41.940222,-87.669427,Music Venue
190,North Center,41.9561073,-87.67915959999999,Dovetail Studio,41.96120256302773,-87.70175266859374,Dance Studio
191,North Center,41.9561073,-87.67915959999999,The Blind Bet Comedy Show,41.9398446,-87.6701971,Comedy Club
192,North Center,41.9561073,-87.67915959999999,365-viii,41.948346,-87.657667,Music Venue
193,North Center,41.9561073,-87.67915959999999,The Haitian-American Museum of Chicago,41.966984000000004,-87.660044,History Museum
194,Lake View,41.94705,-87.6554288,Metro,41.949852030486944,-87.65885156354419,Music Venue
195,Lake View,41.94705,-87.6554288,Music Box Theatre,41.949860830176604,-87.66391971748097,Indie Movie Theater
196,Lake View,41.94705,-87.6554288,Ron Santo Statue by Lou Cella,41.9474319749247,-87.65446990728378,Outdoor Sculpture
197,Lake View,41.94705,-87.6554288,Mercury Theater Chicago,41.95020636165722,-87.66388507795332,Theater
198,Lake View,41.94705,-87.6554288,CSz Theater Chicago,41.93968764928636,-87.65272915355708,Comedy Club
199,Lake View,41.94705,-87.6554288,The Vic Theatre,41.93954700830196,-87.65392941099667,Music Venue
200,Lake View,41.94705,-87.6554288,Theater Wit,41.93966971299157,-87.66024870054014,Performing Arts Venue
201,Lake View,41.94705,-87.6554288,Briar Street Theatre,41.93895880504319,-87.64904957995446,Theater
202,Lake View,41.94705,-87.6554288,Schubas Tavern,41.939743154414835,-87.66363012444612,Music Venue
203,Lake View,41.94705,-87.6554288,Stage 773,41.93975807944483,-87.66002870730603,Performing Arts Venue
204,Lake View,41.94705,-87.6554288,Annoyance Theatre & Bar,41.939883159250165,-87.6512719179122,Theater
205,Lake View,41.94705,-87.6554288,Chemically Imbalanced Comedy,41.954339094238904,-87.66516884774151,Comedy Club
206,Lake View,41.94705,-87.6554288,Harry Caray Statue by Omri Amrany & Lou Cella,41.94894011325319,-87.65445783734322,Outdoor Sculpture
207,Lake View,41.94705,-87.6554288,Rotofugi Gallery,41.932375745509475,-87.65843928485698,Art Gallery
208,Lake View,41.94705,-87.6554288,Laugh Factory,41.939775638863686,-87.6441249055716,Comedy Club
209,Lake View,41.94705,-87.6554288,Ernie Banks Statue by Lou Cella,41.94768732360571,-87.65671357512474,Outdoor Sculpture
210,Lake View,41.94705,-87.6554288,Athenaeum Theatre,41.93549791027549,-87.66404670338753,Theater
211,Lake View,41.94705,-87.6554288,Landmark Century Centre Cinema,41.93341630734196,-87.64577266974479,Indie Movie Theater
212,Lake View,41.94705,-87.6554288,The Playground Theater,41.940220081798806,-87.6491755499491,Performing Arts Venue
213,Lake View,41.94705,-87.6554288,Timeline Theatre Co.,41.93600512892558,-87.64507581655805,Theater
214,Lake View,41.94705,-87.6554288,The Black Ensemble Theater Cultural Center,41.963091584392295,-87.66628790806404,Theater
215,Lake View,41.94705,-87.6554288,Dance Center Chicago,41.95227647437918,-87.67768541675808,Dance Studio
216,Lake View,41.94705,-87.6554288,Pride Arts Center,41.95810444653308,-87.6525221769653,Theater
217,Lake View,41.94705,-87.6554288,Under The Gun Theater,41.94459524771651,-87.65401982471565,Comedy Club
218,Lake View,41.94705,-87.6554288,Kwagulth Totem Pole,41.94887827230365,-87.64264941215515,Outdoor Sculpture
219,Lake View,41.94705,-87.6554288,Martyrs',41.951971394155905,-87.67708336856913,Music Venue
220,Lake View,41.94705,-87.6554288,Elbo Room,41.93417820808124,-87.66094469931662,Rock Club
221,Lake View,41.94705,-87.6554288,Brew & View,41.93973747442297,-87.65392978525628,Indie Movie Theater
222,Lake View,41.94705,-87.6554288,Transistor,41.944408,-87.64524300000001,Art Gallery
223,Lake View,41.94705,-87.6554288,Belmont Ave Underpass Mural,41.940339655623845,-87.63851881027222,Public Art
224,Lake View,41.94705,-87.6554288,Zoo Studios,41.95432426583089,-87.67338347328773,Theater
225,Lake View,41.94705,-87.6554288,Bye Bye Liver,41.952982122244116,-87.66130318524644,Comedy Club
226,Lake View,41.94705,-87.6554288,The Underground Lounge,41.94448956956981,-87.65387690748643,Rock Club
227,Lake View,41.94705,-87.6554288,Motorola Trophy Room,41.94817,-87.656924,Exhibit
228,Lake View,41.94705,-87.6554288,Heineken Light Occasionally Perfect Billboard,41.946986003357146,-87.6550628822869,Music Venue
229,Lake View,41.94705,-87.6554288,Billy Williams Statue by Lou Cella,41.94740005626764,-87.6545812189579,Outdoor Sculpture
230,Lake View,41.94705,-87.6554288,365-viii,41.948346,-87.657667,Music Venue
231,Lake View,41.94705,-87.6554288,Second Stage Theater,41.94403371542292,-87.65416995925827,Theater
232,Lake View,41.94705,-87.6554288,Stage Left Theatre,41.94400333571436,-87.65435133675476,Theater
233,Lake View,41.94705,-87.6554288,pH Productions @ StudioBe,41.93849837053859,-87.65413358733416,Comedy Club
234,Lake View,41.94705,-87.6554288,Metro Chicago,41.9498364,-87.6589652,Music Venue
235,Lake View,41.94705,-87.6554288,You are Beautiful,41.948703,-87.64962,Theater
236,Lake View,41.94705,-87.6554288,The Leigh Gallery,41.944774522810874,-87.647885923752,Art Gallery
237,Lake View,41.94705,-87.6554288,Oh! One Hundred,41.947727,-87.647284,Dance Studio
238,Lake View,41.94705,-87.6554288,Venus Cabaret,41.950102,-87.663915,Music Venue
239,Lake View,41.94705,-87.6554288,Mary Arrchie Theatre,41.952708910004745,-87.64933103328276,Theater
240,Lake View,41.94705,-87.6554288,Otherworld Theatre Company,41.952971179666925,-87.6613175439216,Theater
241,Lake View,41.94705,-87.6554288,Chicago Theater Works,41.939795684041236,-87.65724146213445,Theater
242,Lake View,41.94705,-87.6554288,Live Bait Theatre,41.953043454036745,-87.66133765206573,Theater
243,Lake View,41.94705,-87.6554288,Studio BRZN,41.943938637867454,-87.6462233195627,Art Gallery
244,Lake View,41.94705,-87.6554288,Comedysportz,41.93979515460477,-87.6527252695876,Comedy Club
245,Lake View,41.94705,-87.6554288,Vic Theatre Box Office,41.939502,-87.654031,Music Venue
246,Lake View,41.94705,-87.6554288,The Crowd Theater,41.95391779121966,-87.64982520883937,Comedy Club
247,Lake View,41.94705,-87.6554288,FIGHT GIRL BATTLE WORLD at Theater Wit,41.93970120843231,-87.66035199165344,Theater
248,Lake View,41.94705,-87.6554288,StudioBe,41.938433128571425,-87.65402065714285,Theater
249,Lake View,41.94705,-87.6554288,Fairytale Ballet,41.940720533914984,-87.66387489302812,Dance Studio
250,Lake View,41.94705,-87.6554288,GE Wonderground - Graceland Cemetery,41.954446777547226,-87.66219976409495,Science Museum
251,Lake View,41.94705,-87.6554288,Shuba's,41.939657,-87.663651,Music Venue
252,Lake View,41.94705,-87.6554288,Camp Belle Plaine,41.956939378148896,-87.65282061632651,Dance Studio
253,Lake View,41.94705,-87.6554288,Red Tape Theatre,41.94005624472114,-87.64535277668502,Theater
254,Lake View,41.94705,-87.6554288,Profiles Theatre Main Stage,41.95795924621432,-87.65276822300905,Theater
255,Lake View,41.94705,-87.6554288,CCLaP's Studio 505,41.957526,-87.65031,Indie Theater
256,Lake View,41.94705,-87.6554288,Ruth page School of Dance,41.937078571988906,-87.64784034340568,Dance Studio
257,Lake View,41.94705,-87.6554288,The Ashby Theatre,41.952065999999995,-87.669379,Movie Theater
258,Lake View,41.94705,-87.6554288,Stage Left Rehearsal Space,41.939381,-87.667286,Theater
259,Lake View,41.94705,-87.6554288,Being There / There Being,41.941919,-87.670096,Outdoor Sculpture
260,Lake View,41.94705,-87.6554288,The Pub Theater,41.940308927620016,-87.66935410506171,Comedy Club
