,Station,Lines,Transfers,Location,Opened,Structure,latitude,longitude
101,Damen,Pink,—,Heart of Chicago,"September 7, 1896",Elevated,41.951758,-87.7107659
102,18th,Pink,—,Pilsen,"April 28, 1896[58]",Elevated,41.8560101,-87.656306
103,Polk,Pink,—,Illinois Medical District,"April 28, 1896[58]",Elevated,41.8756545,-87.6731273
104,Linden,Purple,—,Wilmette,"April 2, 1912[59]",At-grade,41.913071,-87.67998
105,Central,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated,42.048102,-87.679284
106,Noyes,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated,42.048102,-87.679284
107,Foster,Purple,—,Evanston,"January 6, 1909[62]",Elevated,42.048102,-87.679284
108,Davis,Purple,Metra: UP-N (at Evanston Davis Street),Evanston,"May 16, 1908[a] [60][61]",Elevated,42.048102,-87.679284
109,Dempster,Purple,—,Evanston,"May 16, 1908[a] [60][61]",Elevated,42.048102,-87.679284
110,Main,Purple,Metra: UP-N (at Evanston Main Street),Evanston,"May 16, 1908[a] [60][61]",Elevated,42.048102,-87.679284
111,South Boulevard,Purple,—,Evanston,"July 1, 1931[63]",Elevated,42.048102,-87.679284
112,Howard  Ⓣ,Red Purple  Yellow,—,Rogers Park,"August 23, 1908[62]",Elevated,42.0105314,-87.6707482
113,Jarvis,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated,42.0105314,-87.6707482
114,Morse,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated,42.0105314,-87.6707482
115,Loyola,Red,—,Rogers Park,"May 16, 1908[a] [64]",Elevated,42.0105314,-87.6707482
116,Granville,Red,—,Edgewater,"May 16, 1908[a] [64]",Elevated,41.9833689,-87.6639516
117,Thorndale,Red,—,Edgewater,"February 14, 1915[65]",Elevated,41.9833689,-87.6639516
118,Bryn Mawr,Red,—,Edgewater,"May 16, 1908[a] [64]",Elevated,41.9833689,-87.6639516
119,Berwyn,Red,—,Edgewater,1917,Elevated,41.9833689,-87.6639516
120,Argyle,Red,—,Little Vietnam,"May 16, 1908[a] [64]",Elevated,41.9732234,-87.6587651
121,Lawrence,Red,—,Uptown,"February 27, 1923[66]",Elevated,41.9666299,-87.6555458
122,Wilson  Ⓣ,Red Purple,—,Uptown,"May 31, 1900[5]",Elevated,41.9666299,-87.6555458
123,Sheridan,Red,—,Lake View,"May 31, 1900[5]",Elevated,41.94705,-87.6554288
124,Addison,Red,—,Wrigleyville,"June 6, 1900[26]",Elevated,41.947022,-87.6564773
125,North/Clybourn,Red,—,Near North Side,"October 17, 1943[67]",Underground,41.9000327,-87.6344975
126,Clark/Division,Red,—,Near North Side,"October 17, 1943[67]",Underground,41.9000327,-87.6344975
127,Chicago,Red,—,Near North Side,"October 17, 1943[67]",Underground,41.9000327,-87.6344975
128,Grand,Red,—,River North / Streeterville,"October 17, 1943[67]",Underground,41.890808,-87.611113
129,Lake  Ⓣ,Red,Brown Green Orange Pink Purple (at State/Lake) Blue (at Washington),The Loop,"October 17, 1943[67]",Underground,41.8788844,-87.6271806
130,Monroe,Red,—,The Loop,"October 17, 1943[67]",Underground,41.8816094,-87.6294574
131,Jackson  Ⓣ,Red,Blue (at Jackson) Brown  Orange Pink Purple (at Library),The Loop,"October 17, 1943[67]",Underground,41.8788844,-87.6271806
132,Harrison,Red,—,South Loop,"October 17, 1943[67]",Underground,41.8617846,-87.6261213
133,Roosevelt  Ⓣ,Red,Green Orange Metra: ME (at Museum Campus/11th Street)NICTD:  (at Museum Campus/11th Street),Near South Side,"October 17, 1943[67]",Underground,41.8566999,-87.6247738
134,Cermak–Chinatown,Red,—,Chinatown,"September 28, 1969[68]",Elevated,41.8516579,-87.6331383
135,Sox–35th,Red,Metra: RI (at Jones/Bronzeville),Armour Square,"September 28, 1969[68]",Expressway median,41.8400333,-87.633107
136,47th,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median,41.8180891,-87.6325508
137,Garfield,Red,—,Fuller Park,"September 28, 1969[68]",Expressway median,41.8180891,-87.6325508
138,63rd,Red,—,Englewood,"September 28, 1969[68]",Expressway median,41.7797559,-87.6458836
139,69th,Red,—,Greater Grand Crossing,"September 28, 1969[68]",Expressway median,41.7668861,-87.6208446
140,79th,Red,—,Chatham,"September 28, 1969[68]",Expressway median,41.7411454,-87.6125481
141,87th,Red,—,Chatham,"September 28, 1969[68]",Expressway median,41.7411454,-87.6125481
142,95th/Dan Ryan,Red,—,Roseland,"September 28, 1969[68]",Expressway median,41.7019787,-87.625881
143,Dempster–Skokie,Yellow,—,Skokie,"March 28, 1925[69]",At-grade,42.3013868,-87.8713131
144,Oakton–Skokie,Yellow,—,Skokie,"March 28, 1925[70]",At-grade,42.3064969,-87.8724758
